'time', 'Temp'
'0:42:15', 23.20
'0:42:18', 23.20
'0:42:20', 23.20
'0:42:22', 23.20
'0:42:24', 23.20
'0:42:26', 23.30
'0:42:28', 23.20
'0:42:30', 23.20
'0:42:32', 23.20
'0:42:35', 23.20
'0:42:37', 23.20
'0:42:39', 23.20
'0:42:41', 23.30
'0:42:43', 23.20
'0:42:45', 23.20
'0:42:47', 23.20
'0:42:50', 23.20
'0:42:52', 23.20
'0:42:54', 23.20
'0:42:56', 23.20
'0:42:58', 23.20
'0:43:0', 23.20
'0:43:2', 23.20
'0:43:4', 23.20
'0:43:7', 23.20
'0:43:9', 23.20
'0:43:11', 23.20
'0:43:13', 23.20
'0:43:15', 23.20
'0:43:17', 23.20
'0:43:19', 23.20
'0:43:21', 23.20
'0:43:24', 23.20
'0:43:26', 23.20
'0:43:28', 23.20
'0:43:30', 23.20
'0:43:32', 23.20
'0:43:34', 23.20
'0:43:36', 23.20
'0:43:39', 23.20
'0:43:41', 23.20
'0:43:43', 23.20
'0:43:45', 23.20
'0:43:47', 23.20
'0:43:49', 23.20
'0:43:51', 23.20
'0:43:53', 23.20
'0:43:56', 23.20
'0:43:58', 23.20
'0:44:0', 23.20
